step,target_index,state_x,state_y,state_v,state_yaw,xref0_x,xref0_y,xref0_v,xref0_yaw,xrefT_x,xrefT_y,xrefT_v,xrefT_yaw,control_a,control_delta,predT_x,predT_y,predT_v,predT_yaw
0,0,0.000000000000000,0.000000000000000,0.000000000000000,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,0.999999999979874,-0.000000000000000,0.398613029518638,-0.033281416552110,0.999999999938493,-0.083299842341756
1,0,0.000000000000000,0.000000000000000,0.199999999995975,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,0.999999999971722,-0.000000000000000,0.597919544276523,-0.049922124828045,1.199999999920394,-0.083299842341756
2,0,0.039861302952339,-0.003328141655251,0.399999999990319,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,0.999999999961944,-0.000000000000000,0.837087361984576,-0.069890974759050,1.399999999898236,-0.083299842341756
3,0,0.119583908856693,-0.009984424965725,0.599999999982708,-0.083299842341756,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,0.999999999954172,0.000211119142554,1.116119272590612,-0.093154551010723,1.599999999857964,-0.083213168361896
4,0,0.239167817712672,-0.019968849931390,0.799999999973542,-0.083289708622763,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,0.999999999943373,0.000263556763625,1.435012947969183,-0.119740704214856,1.799999999786840,-0.083161006923755
5,0,0.398613164417587,-0.033279800778566,0.999999999962217,-0.083272840989501,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,0.999999999916817,0.000256467161849,1.793768564880142,-0.149647345630220,1.999999999607841,-0.083128831050000
6,0,0.597920128424737,-0.049915127503049,1.199999999945580,-0.083252323616104,0.000000000000000,0.000000000000000,2.777777777777778,-0.083299842341756,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,0.999999999809208,0.000202060949333,2.192385513801824,-0.182881784029593,2.199999999039153,-0.083120394144966
7,1,0.837088894757017,-0.069872612461594,1.399999999907422,-0.083232925764705,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,3.181430465894257,-0.264885164142050,2.777777777777778,-0.082602498162783,0.999999999837347,0.001267458339973,2.630908662281874,-0.218905656368359,2.399999994638182,-0.082415337197390
8,1,1.116119573740767,-0.093150932321480,1.599999999874891,-0.083090970354623,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,0.999999999969763,0.001094214527982,3.109277564531915,-0.258441585228806,2.599999989840260,-0.082190824005231
9,1,1.435015551629215,-0.119709457705174,1.799999999868844,-0.082950910839154,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,0.999999999338949,0.000781532586577,3.627503958792020,-0.301353037324438,2.738888844071481,-0.082176931251977
10,1,1.793777707982771,-0.149537551000931,1.999999999736634,-0.082838370123782,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,0.999999999991052,0.000761577949400,4.183739060858342,-0.347208765816857,2.831846656394803,-0.081989776321279
11,1,2.192406053466625,-0.182635015173678,2.199999999734844,-0.082716517628336,1.592693074128871,-0.132886028216352,2.777777777777778,-0.083126163885253,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,0.999999996762557,0.000508455023918,4.744576591909203,-0.393570421537987,2.801885617853712,-0.081992577368386
12,2,2.630901666557844,-0.218988794249433,2.399999999087356,-0.082627029536425,3.181430465894257,-0.264885164142050,2.777777777777778,-0.082602498162783,6.331215472880631,-0.522675189958867,2.777777777777778,-0.080467576353294,0.999999999625889,0.001504017215650,5.386955149095081,-0.445400678189554,2.908906181070332,-0.080940884010715
13,2,3.109264064141711,-0.258604654742253,2.599999999012534,-0.082338258013390,3.181430465894257,-0.264885164142050,2.777777777777778,-0.082602498162783,7.884351723374650,-0.646692295268679,2.777777777777778,-0.078822806954514,0.999999999852799,0.001971560345001,6.064349844876034,-0.499761586203860,3.024549985680605,-0.079996359268872
14,2,3.627502366510540,-0.301372186264208,2.799999998983093,-0.081928172930445,3.181430465894257,-0.264885164142050,2.777777777777778,-0.082602498162783,7.884351723374650,-0.646692295268679,2.777777777777778,-0.078822806954514,0.999999999241242,0.001445663701152,6.698710227841224,-0.551105194225092,2.953600467036042,-0.079753479983542
15,3,4.185623994186471,-0.347200654409920,2.999999998831341,-0.081604344035910,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,9.417709562051241,-0.766274939125220,2.777777777777778,-0.076759688257238,0.999999999899914,0.002338339855043,7.480989758630745,-0.612810852955917,3.180582323766367,-0.078561597112490
16,3,4.783627321664373,-0.396108936376051,3.199999998811324,-0.081043141448064,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,9.417709562051241,-0.766274939125220,2.777777777777778,-0.076759688257238,0.999999999707995,0.002356197762282,8.200970176324757,-0.669222201140458,3.170601244359015,-0.077700322197004
17,3,5.421526714487424,-0.447919787861826,3.399999998752923,-0.080439953704910,4.762256492932671,-0.395110515486439,2.777777777777778,-0.081720854543659,9.417709562051241,-0.766274939125220,2.777777777777778,-0.076759688257238,0.427588893072147,0.001472720657807,8.791228172116398,-0.716230601083377,2.956459248555334,-0.077605392943582
18,4,6.099327900965031,-0.502559986162553,3.485517777367352,-0.080039373396527,6.331215472880631,-0.522675189958867,2.777777777777778,-0.080467576353294,10.927333306546922,-0.880536229237835,2.777777777777778,-0.074243230035396,0.999999997893320,0.002857754584293,9.721732026201533,-0.787285570080553,3.265617324964730,-0.075885892476973
19,4,6.794199720546637,-0.558296162969922,3.685517776946016,-0.079242510874711,6.331215472880631,-0.522675189958867,2.777777777777778,-0.080467576353294,12.409267274498205,-0.988589273315872,2.777777777777778,-0.071228758450065,0.851890079920085,0.003257932114813,10.508144298776967,-0.845675794761466,3.299584532010836,-0.073756026581422
20,5,7.528990211684919,-0.616644989009243,3.855895792930033,-0.078281934138131,7.884351723374650,-0.646692295268679,2.777777777777778,-0.078822806954514,13.859555783541607,-1.089547179068676,2.777777777777778,-0.067659809911111,0.999999995100728,0.004502534498214,11.487827888938794,-0.917080324028500,3.579776274235015,-0.071778774991017
21,5,8.297807660154461,-0.676952746107339,4.055895791950179,-0.076893020446053,7.884351723374650,-0.646692295268679,2.777777777777778,-0.078822806954514,13.859555783541607,-1.089547179068676,2.777777777777778,-0.067659809911111,0.057751211772294,0.003046842250663,12.115754250320800,-0.962465488435848,3.273240912038406,-0.070321305039888
22,6,9.106589936635848,-0.739265315111952,4.067446034304638,-0.075904403413803,9.417709562051241,-0.766274939125220,2.777777777777778,-0.076759688257238,15.274243151313641,-1.182523054205592,2.777777777777778,-0.063465274858991,0.999999998164914,0.004539677477757,13.130280237143799,-1.033951389959588,3.545819488033607,-0.068350687108395
23,6,9.917736818155156,-0.800953452389077,4.267446033937620,-0.074427201813754,9.417709562051241,-0.766274939125220,2.777777777777778,-0.076759688257238,15.274243151313641,-1.182523054205592,2.777777777777778,-0.063465274858991,-0.683247473234819,0.003889179058735,13.825799730156339,-1.081472137591018,3.330796557647074,-0.066593925462825
24,7,10.768863203336508,-0.864417635602300,4.130796539290657,-0.073099446179372,10.927333306546922,-0.880536229237835,2.777777777777778,-0.074243230035396,16.649373695450823,-1.266630006435966,2.777777777777778,-0.058555503998035,0.622460620992565,0.005183705693802,14.749541246555653,-1.142554186030617,3.455288667137871,-0.063912337735818
25,7,11.592816190795425,-0.924755653618758,4.255288663489170,-0.071386404152486,10.927333306546922,-0.880536229237835,2.777777777777778,-0.074243230035396,16.649373695450823,-1.266630006435966,2.777777777777778,-0.058555503998035,-0.999999998916718,0.004435341645723,15.439142441386918,-1.187302529547172,3.255288664072560,-0.062104648161718
26,8,12.441706341171811,-0.985458017483229,4.055288663705826,-0.069876501529510,12.409267274498205,-0.988589273315872,2.777777777777778,-0.071228758450065,17.980991733589665,-1.340981143469144,2.777777777777778,-0.052816948483279,0.264491384653419,0.006482764285916,16.290961348101909,-1.239001079292167,3.308187176130827,-0.058680151165438
27,9,13.250784793343573,-1.042085785147014,4.108186940636510,-0.067773313624954,13.859555783541607,-1.089547179068676,2.777777777777778,-0.067659809911111,19.265141583366688,-1.404689573014472,2.777777777777778,-0.046104684297912,0.999999997015778,0.009181029755693,17.279963924938137,-1.293853450809194,3.522961400730680,-0.053943826735843
28,9,14.070535922157479,-1.097728254331824,4.308186940039666,-0.064755837918639,13.859555783541607,-1.089547179068676,2.777777777777778,-0.067659809911111,19.265141583366688,-1.404689573014472,2.777777777777778,-0.046104684297912,-0.999999770949117,0.007313332367372,17.971717287771629,-1.331181191230935,3.308186991072851,-0.051038290071307
29,10,14.930367381348411,-1.153485318446842,4.108186985849843,-0.062235216740684,15.274243151313641,-1.182523054205592,2.777777777777778,-0.063465274858991,20.497867562418399,-1.456868402781295,2.777777777777778,-0.038231815239937,0.274474272556894,0.008885932297096,18.836201521179888,-1.374377209555155,3.363081957082701,-0.046447309246227
30,10,15.750414099934124,-1.204587096938843,4.163081840361222,-0.059314734159774,15.274243151313641,-1.182523054205592,2.777777777777778,-0.063465274858991,20.497867562418399,-1.456868402781295,2.777777777777778,-0.038231815239937,-0.999999999924639,0.005880897042848,19.507892060875182,-1.409313913823901,3.163081840721061,-0.044224074563508
31,11,16.581566226234695,-1.253944561702077,3.963081840376294,-0.057356099125228,16.649373695450823,-1.266630006435966,2.777777777777778,-0.058555503998035,21.675213988381323,-1.496630740478960,2.777777777777778,-0.028954161413623,-0.034533481144193,0.011911792929208,20.294423995046824,-1.440050543043903,3.156175286575874,-0.037796042108429
32,12,17.372879207889504,-1.299381022891223,3.956175144147455,-0.053579327674291,17.980991733589665,-1.340981143469144,2.777777777777778,-0.052816948483279,22.793225178891962,-1.523089693816812,2.777777777777778,-0.017947641608380,0.899565675097182,0.016153716717114,21.229160673318010,-1.469702538294841,3.336088330605757,-0.029180685359541
33,12,18.162978791643173,-1.341754583032958,4.136088279166891,-0.048466328328554,17.980991733589665,-1.340981143469144,2.777777777777778,-0.052816948483279,22.793225178891962,-1.523089693816812,2.777777777777778,-0.017947641608380,-0.999999999890517,0.010477843920738,21.895895513582971,-1.493986362693357,3.136088279676024,-0.025909676405247
34,13,18.989225076718441,-1.381831091386207,3.936088279188788,-0.044999218453973,19.265141583366688,-1.404689573014472,2.777777777777778,-0.046104684297912,23.847945451586842,-1.535358370504196,2.777777777777778,-0.004774006057260,-0.211291488503203,0.017385046010954,22.649238615994125,-1.507950492502295,3.093830097810268,-0.016616533592717
35,13,19.775645836850625,-1.417243316617221,3.893829981488147,-0.039524340800554,19.265141583366688,-1.404689573014472,2.777777777777778,-0.046104684297912,23.847945451586842,-1.535358370504196,2.777777777777778,-0.004774006057260,-0.999999999982443,0.012111772723029,23.267718973536478,-1.525353488009171,2.893829986886492,-0.014207294970853
36,14,20.553803628524022,-1.448015515879212,3.693829981491659,-0.035751261600785,20.497867562418399,-1.456868402781295,2.777777777777778,-0.038231815239937,24.835419124102472,-1.532549878250459,2.777777777777778,0.011172608117764,-0.999999998808019,0.021978345537065,23.942512372390830,-1.525550249537533,2.905042839037820,-0.000828496840926
37,15,21.292097547229186,-1.474421706245097,3.493829981730055,-0.029255473906988,21.675213988381323,-1.496630740478960,2.777777777777778,-0.028954161413623,24.835419124102472,-1.532549878250459,2.777777777777778,0.011172608117764,-0.262945857444215,0.024677258369992,24.579207700921710,-1.526134445283396,2.828027312668263,0.006005471681660
38,15,21.990564534020027,-1.494861520646351,3.441240810241212,-0.022356621846067,21.675213988381323,-1.496630740478960,2.777777777777778,-0.028954161413623,24.835419124102472,-1.532549878250459,2.777777777777778,0.011172608117764,-0.999999998044601,0.017933649668847,25.062958699558582,-1.532009726816424,2.748774879144816,0.006180103145617
39,16,22.678640703636315,-1.510247142796905,3.241240810632292,-0.017418971923296,22.793225178891962,-1.523089693816812,2.777777777777778,-0.017947641608380,25.751690514075371,-1.513777324764946,2.777777777777778,0.030751845690276,-0.494629829924692,0.034422902671088,25.738133158366256,-1.510307673198852,2.790576603056494,0.027303262740384
40,17,23.326790522331834,-1.521538388312718,3.142314844647353,-0.008489611380416,23.847945451586842,-1.535358370504196,2.777777777777778,-0.004774006057260,26.592803939142048,-1.478153817757004,2.777777777777778,0.055221457725809,0.579226665425089,0.046070877461666,26.458406443390569,-1.475529562842535,2.810167650972538,0.050191096514005
41,17,23.955230843633998,-1.526873730595906,3.258160177732371,0.003100125790935,23.847945451586842,-1.535358370504196,2.777777777777778,-0.004774006057260,26.592803939142048,-1.478153817757004,2.777777777777778,0.055221457725809,-0.999999999689323,0.034180174288251,26.887186095409970,-1.466434879725700,2.739196380790851,0.049809485991277
42,18,24.606859747836939,-1.524853592552163,3.058160177794507,0.012012755508507,24.835419124102472,-1.532549878250459,2.777777777777778,0.011172608117764,27.354803716939017,-1.424792464935977,2.777777777777778,0.086489822188468,-0.999999972002168,0.049457835211276,27.424092455409223,-1.424966107376139,2.758314482385946,0.073022974402648
43,18,25.218447652750090,-1.517506383158893,2.858160183394073,0.024122629585570,24.835419124102472,-1.532549878250459,2.777777777777778,0.011172608117764,27.354803716939017,-1.424792464935977,2.777777777777778,0.086489822188468,-0.999999999168794,0.040673930162046,27.808424682798179,-1.407376046861052,2.696480298565806,0.073066236422372
44,19,25.789913380793077,-1.503718452571991,2.658160183560314,0.033427970254711,25.751690514075371,-1.513777324764946,2.777777777777778,0.030751845690276,28.033734165102796,-1.352806374011211,2.777777777777778,0.127580287040586,-0.699828454394181,0.078275743548871,28.346501517687042,-1.334088478583554,2.725877776321325,0.116773017596809
45,20,26.321248414583827,-1.485950382187207,2.518194492681478,0.050107607255340,26.592803939142048,-1.478153817757004,2.777777777777778,0.055221457725809,28.625639601269903,-1.261308652692054,2.777777777777778,0.183533343166690,0.257527777725719,0.113249641067305,28.896098705416200,-1.234079862282327,2.735629448909975,0.169505409020493
46,20,26.824255184098686,-1.460724801102135,2.569700048226622,0.073020416844173,26.592803939142048,-1.478153817757004,2.777777777777778,0.055221457725809,28.625639601269903,-1.261308652692054,2.777777777777778,0.183533343166690,-0.999999999559046,0.092284811403018,29.221418860580755,-1.196120520302977,2.682286620247849,0.167702076660471
47,21,27.336825643186874,-1.423230028341650,2.369700048314813,0.092046000654700,27.354803716939017,-1.424792464935977,2.777777777777778,0.086489822188468,28.625639601269903,-1.261308652692054,2.777777777777778,0.183533343166690,-0.999999987462135,0.107293160024111,29.575567520852996,-1.126888152204275,2.620133237500649,0.191550453119485
48,22,27.808759349613144,-1.379667320688297,2.169700050822386,0.112464621214710,28.033734165102796,-1.352806374011211,2.777777777777778,0.127580287040586,29.126564343076851,-1.149412408687849,2.777777777777778,0.263259953436931,-0.228907288920754,0.196507747887605,30.003100908129650,-0.974449810248964,2.649333319475450,0.286075669141873
49,22,28.239957951348906,-1.330967235650701,2.123918593038235,0.147019583471225,28.033734165102796,-1.352806374011211,2.777777777777778,0.127580287040586,29.126564343076851,-1.149412408687849,2.777777777777778,0.263259953436931,-0.999999997387181,0.176700895216830,30.269778215336760,-0.907480715239568,2.507242246496276,0.292147076665237
50,23,28.660159134460564,-1.268740446357795,1.923918593560799,0.177359881869964,28.625639601269903,-1.261308652692054,2.777777777777778,0.183533343166690,29.532552708160154,-1.016230749707943,2.777777777777778,0.383493838415244,-0.349102310382174,0.336104653230079,30.607349492076818,-0.697294686791883,2.532086164491825,0.442715008506476
51,24,29.038906721217462,-1.200852481947414,1.854098131484364,0.231131115729167,29.126564343076851,-1.149412408687849,2.777777777777778,0.263259953436931,29.839649014156329,-0.860876783461682,2.777777777777778,0.576704620585233,-0.297932021988441,0.505067546552601,30.859971222491446,-0.456861691596066,2.481002208696952,0.614724884530486
52,25,29.399865476128440,-1.115905601486328,1.794511727086675,0.313141695626086,29.532552708160154,-1.016230749707943,2.777777777777778,0.383493838415244,30.043897578701880,-0.682463617658412,2.777777777777778,0.898253482700914,-0.138994600099269,0.785398162168377,31.040591805870829,-0.089723716138955,2.473714198415682,0.923640841308761
53,26,29.741314569242753,-1.005346068394533,1.766712807066821,0.456702633440127,29.839649014156329,-0.860876783461682,2.777777777777778,0.576704620585233,30.141342719433336,-0.480104360007477,2.777777777777778,1.374300153787332,-0.249472788692631,0.785398162990981,31.195419306549674,0.214037149187542,2.434934320106967,1.059206761164067
54,27,30.058443575649019,-0.849525148740171,1.716818249328295,0.598039657890575,30.043897578701880,-0.682463617658412,2.777777777777778,0.898253482700914,30.128028753987202,-0.252912118218225,2.777777777777778,1.854743986537307,-0.366339551738323,0.785398163255867,31.300527162835039,0.514618300979592,2.385073334325014,1.183423890758680
55,28,30.342213346599674,-0.656203362219150,1.643550338980631,0.735385117797947,30.141342719433336,-0.480104360007477,2.777777777777778,1.374300153787332,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,-0.409457127979963,0.785398162723864,31.364989026330896,0.811045047572096,2.339839679550398,1.302359727634447
56,28,30.585975674728143,-0.435680719264006,1.561658913384638,0.866869144739267,30.141342719433336,-0.480104360007477,2.777777777777778,1.374300153787332,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,-0.680915030563010,0.785398163339303,31.378419209066525,1.044809915790274,2.225475864700873,1.399010887533849
57,29,30.788121922416927,-0.197588222499634,1.425475907272036,0.991801857795509,30.128028753987202,-0.252912118218225,2.777777777777778,1.854743986537307,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,-0.305501852454735,0.785398163055840,31.378296506735712,1.295043658866895,2.164375529136325,1.498948510263239
58,29,30.944121036715529,0.041040231014553,1.364375536781089,1.105839930299359,30.128028753987202,-0.252912118218225,2.777777777777778,1.854743986537307,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,-0.455586980649375,0.785398163022329,31.354445835816236,1.506365227243654,2.073258136720871,1.587283780554393
59,29,31.066473821717732,0.284947221928861,1.273258140651214,1.214989973159958,30.128028753987202,-0.252912118218225,2.777777777777778,1.854743986537307,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,-0.427697372409847,0.785398162922372,31.317011590020247,1.699641289263901,1.987718662889953,1.667493730709106
60,30,31.155180780991994,0.523648975348684,1.187718666169245,1.316850624315272,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,0.228803607289382,0.785398163352368,31.258945163720711,1.975989102793647,2.033479386854616,1.774996628199310
61,30,31.214857720486044,0.753574372143596,1.233479387627121,1.411868117600245,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,-0.221325929744913,0.785398162950271,31.184407082034916,2.183327947994059,1.989214198681718,1.865027998276242
62,30,31.253899813562469,0.997161257989798,1.189214201678138,1.510546468522161,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,-0.251014928203401,0.785398162582101,31.097003863703389,2.370105850046778,1.939011210794620,1.948422262820272
63,30,31.268221142800400,1.234572538740687,1.139011216037458,1.605683604501273,30.000000000000000,0.000000000000000,2.777777777777778,2.182674944354738,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,-0.227265059531214,0.785398161840365,30.999607458418705,2.543545844845376,1.893558194303065,2.026295234624650
64,31,31.260275354740827,1.462236164431041,1.093558204131216,1.696804501500504,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,0.825701214580340,0.785398162389144,30.818547516159086,2.851225972399404,2.058698437577890,2.153113082284174
65,31,31.232788773994070,1.679213743253738,1.258698447047284,1.784289157654579,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,0.130153869429276,0.785398163223101,30.638802954563172,3.067584013162266,2.084729219366412,2.264526909897414
66,31,31.179451498323630,1.925238144986626,1.284729220933139,1.884985033383249,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,-0.053595222846264,0.785398162318151,30.451600108031144,3.244561574655417,2.074010167727398,2.362076800862216
67,31,31.100043671316563,2.169605826677136,1.274010176363886,1.987763370836043,29.755263513948151,0.279328556903339,2.777777777777778,2.371206353587148,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,-0.050594984088165,0.785398162964726,30.248252253882182,3.400348089461672,2.063891176180779,2.459760232593299
68,32,30.996851592954538,2.402576795131310,1.263891179546253,2.089684184856948,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,0.999999998933273,0.785398163327878,29.899192390869860,3.636756564501791,2.263891178647572,2.610245462039650
69,32,30.871495151784249,2.622082146333764,1.463891179332907,2.190795479206579,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,0.622144287982072,0.785398160897283,29.532803050083395,3.806619635959591,2.388319987729973,2.754598320433764
70,32,30.701380904474085,2.860368189272171,1.588320036929322,2.307906772967616,29.399677307667719,0.585008794609888,2.777777777777778,2.478837901285199,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,0.835008145460977,0.785398161707088,29.085854830404799,3.936944293351716,2.555321540060467,2.916035785013639
71,33,30.487862643254473,3.095571024531866,1.755321666021517,2.434972375492388,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,0.999999990435389,0.785398162427263,28.559072871753191,3.994054674073639,2.716549497393538,3.100470310786314
72,33,30.220856958284248,3.323505511263826,1.955321664108595,2.575398108501632,28.941062131834688,0.916785625203228,2.777777777777778,2.544921919054026,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,0.999999998232476,0.785398163263372,27.985851458676994,3.941981261930547,2.816549670481181,3.297239601562738
73,34,29.890818832616070,3.533281935131553,2.155321663755090,2.731823841588374,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,0.999999993624509,0.785398161821813,27.401066694163731,3.767697158876544,2.879300748669129,3.467768590986591
74,34,29.495441043471835,3.705016797117981,2.355321662479992,2.904249574145421,28.387238737125031,1.274403960766942,2.777777777777778,2.587580273292891,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,0.999999998497260,0.785398163221726,26.846867333812408,3.439908369978140,2.871982341444935,3.683391106733829
75,35,29.037582480114636,3.815773924700736,2.555321662179444,3.092675307077599,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,25.376277983039653,2.958190594397199,2.777777777777778,2.653104280632958,0.999999999725672,0.562383993404799,26.184119418583780,3.355144266828264,2.921867905174394,3.489624562748851
76,35,28.527129490412534,3.840763866523892,2.755321662124579,3.221519852876161,27.746027874214722,1.657608713384614,2.777777777777778,2.615811171700940,25.376277983039653,2.958190594397199,2.777777777777778,2.653104280632958,0.999999994183879,0.427675656888572,25.662408549762926,3.167585258073529,2.830810192381328,3.477535817075275
77,36,27.977824419016667,3.796765718725399,2.955321660961355,3.321992279119294,27.025250293779735,2.066144795139826,2.777777777777778,2.634462746003995,24.463724754086510,3.441190136066525,2.777777777777778,2.655851531497457,0.999999997657398,-0.061593297749631,24.925768165278406,3.496405424874140,2.841382131741108,3.005182981335519
78,37,27.396351837762669,3.690715343715656,3.155321660492834,3.307411595480136,26.232726746496056,2.499757118116160,2.777777777777778,2.646329056016381,23.502887810312604,3.948500655207722,2.777777777777778,2.655248764939294,0.999999999807821,-0.487721747027616,24.143945332102110,3.967706477151347,2.972075960170106,2.696983141208554
79,37,26.773943492338017,3.586551805024063,3.355321660454399,3.173508510738773,26.232726746496056,2.499757118116160,2.777777777777778,2.646329056016381,23.502887810312604,3.948500655207722,2.777777777777778,2.655248764939294,-0.356745633722547,-0.271024300863065,23.658531637940460,3.996400287336485,2.808272259698970,2.727092331641769
80,38,26.103220911661126,3.565137847549831,3.283972533709890,3.098923412832860,25.376277983039653,2.958190594397199,2.777777777777778,2.653104280632958,22.501587902393901,4.479867063904373,2.777777777777778,2.651724776734467,0.955254389894426,-0.431449801566681,22.923366121112572,4.385818317778558,2.883829855093421,2.612939651512345
